SCHUL_KND_SC_NM,FOND_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ORG_TELNO,HMPG_ADRES,COEDU_SC_NM,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,address,lng,lat
 중학교 , 공립 ,7132127, 구암중학교 , 02-881-2900 , http://www.guahm.ms.kr/ , 남여공학 , 해당없음 ,  ,서울특별시 관악구 성현로 53 ,126.9485196,37.492754
 중학교 , 사립 ,7132126, 광신중학교 , 02-881-8652 , http://www.kwangshin.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 광신길 141 ,126.9256313,37.4651293
 중학교 , 공립 ,7132125, 관악중학교 , 02-889-1782 , http://www.gwanak.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 남부순환로237길 60 ,126.9618242,37.4808788
 중학교 , 공립 ,7132124, 강현중학교 , 02-815-3939 , http://www.sganghyeon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 상도로13라길 22 ,126.9312827,37.5032767
 중학교 , 공립 ,7132123, 강남중학교 , 02-814-5637 , http://www.kangnam.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 대방동15길 29 ,126.9222337,37.5025638
 초등학교 , 사립 ,7132122, 중앙대학교사범대학부속초등학교 , 02-815-0145 , http://www.caude.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 서달로 135 ,126.9598231,37.5053336
 초등학교 , 공립 ,7132121, 서울흑석초등학교 , 02-815-3276 , http://heukseok.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 동작구 현충로 87 ,126.9652528,37.508553
 초등학교 , 공립 ,7132120, 서울행림초등학교 , 02-523-1352 , http://www.hrim.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 솔밭로 47 ,126.9643715,37.4830997
 초등학교 , 공립 ,7132119, 서울청룡초등학교 , 02-871-5850 , http://chungryong.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 관악로5길 61 ,126.9512119,37.4757031
 초등학교 , 공립 ,7132118, 서울조원초등학교 , 02-869-2235 , http://seouljowon.es.kr , 남여공학 , 해당없음 ,  ,서울특별시 관악구 조원로 67 ,126.9094846,37.4841015
 초등학교 , 공립 ,7132117, 서울인헌초등학교 , 02-872-8101 , http://www.inhun.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 낙성대로 23 ,126.9600516,37.4766193
 초등학교 , 공립 ,7132116, 서울은천초등학교 , 02-883-6321 , http://www.euncheon.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 은천로 69 ,126.9428019,37.4868282
 초등학교 , 공립 ,7132115, 서울은로초등학교 , 02-824-0309 , http://eunlo.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 서달로 115 ,126.9602142,37.5032286
 초등학교 , 공립 ,7132114, 서울원신초등학교 , 02-888-1813 , http://www.wonshin.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 관악구 광신길 177 ,126.927401,37.4670646
 초등학교 , 공립 ,7132113, 서울원당초등학교 , 02-877-4940 , http://www.wondang.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 봉천로 505 ,126.9560766,37.4811615
 초등학교 , 공립 ,7132112, 서울영화초등학교 , 02-824-6051 , http://younghwa.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 등용로8길 3 ,126.9330236,37.5088969
 초등학교 , 공립 ,7132111, 서울영본초등학교 , 02-815-4371 , http://yeongbon.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 만양로12가길 69 ,126.948552,37.510604
 초등학교 , 공립 ,7132110, 서울신우초등학교 , 02-874-9812 , http://www.seoulsinwoo.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 관악구 호암로 498 ,126.9323363,37.4626311
 초등학교 , 공립 ,7132109, 서울신성초등학교 , 02-875-7611 , http://www.sss.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 관악구 신림로 114 ,126.9371588,37.4717121
 초등학교 , 공립 ,7132108, 서울신상도초등학교 , 02-822-6953 , http://www.shinsangdo.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 장승배기로 14 ,126.9440578,37.5004272
 초등학교 , 공립 ,7132107, 서울신봉초등학교 , 02-871-9616 , http://sinbong.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 양녕로6나길 1 ,126.9492093,37.4854977
 초등학교 , 공립 ,7132106, 서울신림초등학교 , 02-856-3127 , http://sillim.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 문성로28길 31 ,126.9273018,37.4771734
 초등학교 , 공립 ,7132105, 서울신남성초등학교 , 02-521-6268 , http://www.shinnamsung.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 사당로 146 ,126.9651202,37.4886567
 초등학교 , 공립 ,7132104, 서울신길초등학교 , 02-815-6417 , http://www.singil.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 동작구 알마타길 16 ,126.9264997,37.5103065
 초등학교 , 공립 ,7132103, 서울상현초등학교 , 02-826-9740 , http://www.ssh.es.kr , 남여공학 , 해당없음 ,  ,서울특별시 동작구 상도로58길 21 ,126.9526742,37.4948634
 초등학교 , 공립 ,7132102, 서울상도초등학교 , 02-823-2168 , http://seoulsangdo.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 성대로21길 62 ,126.9373714,37.4998086
 초등학교 , 공립 ,7132101, 서울삼일초등학교 , 02-3477-9473 , http://www.samil.es.kr/ , 남여공학 , 해당없음 ,  ,서울특별시 동작구 사당로23나길 27 ,126.9752122,37.4882581
 초등학교 , 공립 ,7132100, 서울삼성초등학교 , 02-877-9144 , http://www.s-samseong.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 대학7길 52 ,126.9409781,37.4678358
 초등학교 , 공립 ,7132099, 서울사당초등학교 , 02-522-4180 , http://www.sadang.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 남현4길 51 ,126.9741892,37.4737604
 초등학교 , 공립 ,7132098, 서울봉현초등학교 , 02-885-1985 , www.bonghyun.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 성현로 117 ,126.9556552,37.4911234
 초등학교 , 공립 ,7132097, 서울봉천초등학교 , 02-888-3927 , http://www.bongcheon.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 행운1라길 17 ,126.9578933,37.4830517
 초등학교 , 공립 ,7132096, 서울본동초등학교 , 02-815-1044 , http://bondong.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 노량진로26길 16-40 ,126.9537388,37.5101455
 초등학교 , 공립 ,7132095, 서울보라매초등학교 , 02-836-3001 , www.boramae.es.kr , 남여공학 , 해당없음 ,  ,서울특별시 동작구 여의대방로16길 30 ,126.9161335,37.4958132
 초등학교 , 공립 ,7132094, 서울미성초등학교 , 02-839-8302 , http://www.misung.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 문성로 79 ,126.9126831,37.4779589
 초등학교 , 공립 ,7132093, 서울문창초등학교 , 02-836-2031 , http://www.munchang.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 신대방2길 14 ,126.9140157,37.4889999
 초등학교 , 공립 ,7132092, 서울동작초등학교 , 02-537-1773 , http://www.dongjak.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 동작구 동작대로29길 214 ,126.977064,37.4942571
 초등학교 , 공립 ,7132091, 서울대림초등학교 , 02-822-1984 , http://www.seouldaelim.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 대방동1길 22 ,126.9253826,37.5006552
 초등학교 , 공립 ,7132090, 서울당곡초등학교 , 02-872-4683 , http://www.danggok.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 보라매로2길 23 ,126.9298987,37.4901
 초등학교 , 공립 ,7132089, 서울노량진초등학교 , 02-815-1274 , http://www.noryangjin.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 장승배기로 160 ,126.9409162,37.5114639
 초등학교 , 공립 ,7132088, 서울남성초등학교 , 02-595-5471 , http://www.namsung.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 사당로23길 57-14 ,126.9758987,37.4843535
 초등학교 , 공립 ,7132087, 서울남사초등학교 , 02-522-0333 , http://www.namsa.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 동작구 동작대로13길 22 ,126.9785839,37.4822953
 초등학교 , 공립 ,7132086, 서울남부초등학교 , 02-857-5032 , http://seoulnambu.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 남부순환로163길 14 ,126.9221236,37.4850465
 초등학교 , 공립 ,7132085, 서울난향초등학교 , 02-839-0291 , http://nanhyang.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 난향길 9 ,126.9180516,37.462402
 초등학교 , 공립 ,7132084, 서울난우초등학교 ,7078741206, http://www.nanwoo.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 난우길 40 ,126.9178311,37.4769159
 초등학교 , 공립 ,7132083, 서울난곡초등학교 , 02-855-2131 , http://nangok.es.kr/ , 남여공학 , 일반계 ,  ,서울특별시 관악구 난곡로35길 102 ,126.9166416,37.4692461
 초등학교 , 공립 ,7132082, 서울구암초등학교 , 02-871-6041 , http://seoulguam.es.kr , 남여공학 , 일반계 ,  ,서울특별시 관악구 구암길 1 ,126.9468917,37.4894958
 초등학교 , 공립 ,7132081, 서울관악초등학교 , 02-874-3832 , http://www.seoul-kwanak.es.kr , 남여공학 , 일반계 ,  ,서울 관악구 청룡4길 49 ,126.9428751,37.4808279
 초등학교 , 공립 ,7132080, 서울강남초등학교 , 02-824-4471 , http://gangnam.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 동작구 강남초등길 15 ,126.952747,37.5058477
 중학교 , 공립 ,7130268, 강빛중학교 , 02-6951-3964 , http://gbm.sen.ms.kr , 남여공학 ,  ,  ,서울특별시 강동구 아리수로93다길 1 ,127.1717256,37.5746065
 초등학교 , 공립 ,7130266, 서울강빛초등학교 , 02-6951-3963 , http://gbe.sen.es.kr , 남여공학 ,  ,  ,서울특별시 강동구 아리수로93다길 1 ,127.1717256,37.5746065
 초등학교 , 공립 ,7130264, 서울고현초등학교 , 02-427-9672 , http://gohyeon.sen.es.kr , 남여공학 , 해당없음 ,  ,서울특별시 강동구 상일로11길 110 ,127.1659213,37.5540037
 중학교 , 공립 ,7130256, 해누리중학교 , 02-403-1994 , http://haenuri.ms.kr , 남여공학 ,  ,  ,서울특별시 송파구 송파대로37길 95 ,127.1021219,37.4984095
 초등학교 , 공립 ,7130255, 서울해누리초등학교 , 02-407-1988 , http://haenuri.sen.es.kr , 남여공학 ,  ,  ,서울특별시 송파구 송파대로37길 95 ,127.1021219,37.4984095
 초등학교 , 공립 ,7130251, 서울강솔초등학교 , 02-2147-5700 , http://gangsol.sen.es.kr , 남여공학 ,  ,  ,서울특별시 강동구 고덕로97길 80 ,127.180342,37.562097
 초등학교 , 공립 ,7130245, 서울위례별초등학교 , 02-409-2112 , http://www.westar.es.kr , 남여공학 ,  ,  ,서울특별시 송파구 위례광장로 243 ,127.1449007,37.4789666
 중학교 , 사립 ,7130209, 한영중학교 , 02-6954-1403 , http://www.hanyoung.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 동남로 832 ,127.1581016,37.5488933
 중학교 , 공립 ,7130208, 한산중학교 , 02-474-4903 , http://urihansan.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 풍성로 251 ,127.1403051,37.5287347
 중학교 , 공립 ,7130207, 풍성중학교 , 02-2224-7700 , http://www.pungsung.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 강동대로2길 27 ,127.1129885,37.5253159
 중학교 , 공립 ,7130206, 풍납중학교 , 02-2225-2000 , http://www.pungnap.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 올림픽로43길 20 ,127.1160175,37.5255729
 중학교 , 공립 ,7130205, 천호중학교 , 02-470-7075 , http://www.cheonho.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 상암로 153 ,127.1395795,37.5465883
 중학교 , 공립 ,7130204, 천일중학교 , 02-470-3542 , http://www.cheonil.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 천중로 57 ,127.1275801,37.5459416
 중학교 , 사립 ,7130203, 정신여자중학교 , 02-421-0748 , http://www.chungshin.net , 여 , 일반계 ,  ,서울특별시 송파구 올림픽로4길 16 ,127.0727308,37.5092383
 중학교 , 공립 ,7130202, 잠실중학교 , 02-418-0586 , http://jamsil.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 올림픽로35길 130 ,127.0991776,37.5175615
 중학교 , 공립 ,7130201, 잠신중학교 , 02-2251-1234 , http://jamsin.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 잠실로 12 ,127.0878085,37.5157262
 중학교 , 사립 ,7130200, 일신여자중학교 , 02-2140-8131 , http://ilsin.sen.ms.kr , 여 , 일반계 ,  ,서울특별시 송파구 송파대로38길 8 ,127.1136067,37.501749
 중학교 , 공립 ,7130199, 오주중학교 , 02-3434-7500 , http://www.oju.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 동남로 281 ,127.1362074,37.5014299
 중학교 , 공립 ,7130198, 오륜중학교 , 02-3434-4100 , http://oryun.sen.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 양재대로 1242 ,127.1389331,37.5162001
 중학교 , 공립 ,7130197, 오금중학교 , 02-402-4778 , http://www.ogeum.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 오금로35길 20 ,127.1282606,37.5049757
 중학교 , 사립 ,7130196, 영파여자중학교 , 02-470-7876 , http://youngpa.sen.ms.kr , 여 , 일반계 ,  ,서울특별시 송파구 올림픽로 565 ,127.1202895,37.5326961
 중학교 , 공립 ,7130195, 아주중학교 , 02-415-1697 , http://aju.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 올림픽로4길 69 ,127.0761888,37.5049043
 중학교 , 공립 ,7130194, 신천중학교 , 02-422-3946 , http://www.scm.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 백제고분로 11 ,127.0782211,37.5162284
 중학교 , 공립 ,7130193, 신암중학교 , 02-441-6751 , http://www.sinam.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 고덕로 65 ,127.1330432,37.5559564
 중학교 , 공립 ,7130192, 신명중학교 , 02-6969-6400 , http://www.sinmyung.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 명일로24길 25 ,127.1496977,37.5415075
 중학교 , 공립 ,7130191, 송파중학교 , 02-402-0118 , http://www.songpa.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 동남로 203 ,127.1298466,37.4959859
 중학교 , 공립 ,7130190, 송례중학교 , 02-2144-2800 , http://www.songrye.ms.kr , 남여공학 ,  ,  ,서울특별시 송파구 위례순환로 429 ,127.1397354,37.4778299
 중학교 , 공립 ,7130189, 세륜중학교 , 02-431-1102 , http://www.seryun.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 양재대로72길 41 ,127.1312383,37.5086199
 중학교 , 사립 ,7130188, 성덕여자중학교 , 02-475-4626 ~ 8 , http://www.sd.ms.kr , 여 , 일반계 ,  ,서울특별시 강동구 구천면로 396 ,127.1424983,37.549637
 중학교 , 공립 ,7130187, 성내중학교 , 02-480-1600 , http://seongnae.sen.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 성안로7길 36 ,127.1296529,37.5292334
 중학교 , 공립 ,7130186, 석촌중학교 , 02-448-4031 , http://www.seokchon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 송이로15길 13 ,127.1212819,37.5011396
 중학교 , 공립 ,7130185, 서울체육중학교 , 02-2140-9801 , http://cheyuk.sen.ms.kr/ , 남여공학 , 해당없음 ,  ,서울특별시 송파구 강동대로 232 ,127.1304643,37.5217155
 중학교 , 사립 ,7130184, 상일여자중학교 , 02-428-0735 , http://www.sangil.ms.kr , 여 , 일반계 ,  ,서울특별시 강동구 천호대로219길 61 ,127.1697103,37.5491197
 중학교 , 사립 ,7130183, 보인중학교 , 02-449-6017 , http://www.boin.ms.kr , 남 , 일반계 ,  ,서울특별시 송파구 오금로49길 18 ,127.1387303,37.4974206
 중학교 , 사립 ,7130182, 보성중학교 , 02-2152-2513 , http://posung.ms.kr/ , 남 , 일반계 ,  ,서울특별시 송파구 양재대로 1278 ,127.1351586,37.5197947
 중학교 , 사립 ,7130181, 배재중학교 , 02-429-1885 , http://paichai.sen.ms.kr , 남 , 일반계 ,  ,서울특별시 강동구 고덕로 227 ,127.1504968,37.555858
 중학교 , 사립 ,7130180, 배명중학교 , 02-414-5474 , http://bm.ms.kr/ , 남 , 일반계 ,  ,서울특별시 송파구 삼학사로 11 ,127.0956178,37.498513
 중학교 , 공립 ,7130179, 방이중학교 , 02-2152-7111 , http://www.bangi.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 오금로11길 64 ,127.1132356,37.5149557
 중학교 , 공립 ,7130178, 방산중학교 , 02-2046-2600 , www.bangsan.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 오금로29길 31 ,127.1217975,37.5092619
 중학교 , 공립 ,7130177, 문현중학교 , 02-407-4095 , http://www.munhyeon.ms.kr/ , 남여공학 , 해당없음 ,  ,서울특별시 송파구 충민로 99 ,127.1278766,37.4806173
 중학교 , 공립 ,7130176, 문정중학교 , 02-448-6348 , http://www.munjeong.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 문정로 73 ,127.1298096,37.4884527
 중학교 , 공립 ,7130175, 명일중학교 , 070-5102-5713 , http://www.myungil.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 양재대로156길 57 ,127.1478015,37.5569919
 중학교 , 공립 ,7130174, 둔촌중학교 , 02-474-3981 , http://doonchon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 진황도로61길 25-30 ,127.1460424,37.5306235
 중학교 , 사립 ,7130173, 동신중학교 , 02-3784-3938 , http://dongshin.sen.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 진황도로 72 ,127.1343513,37.5368007
 중학교 , 사립 ,7130172, 동북중학교 , 02-477-2280 , http://www.dongbuk.ms.kr , 남 , 일반계 ,  ,서울특별시 강동구 강동대로 305 ,127.1407217,37.5200336
 중학교 , 공립 ,7130171, 고덕중학교 , 02-2045-6000 , http://www.godeok.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 동남로82길 94 ,127.161031,37.5601503
 중학교 , 공립 ,7130170, 거원중학교 , 02-405-4205 , http://www.geowon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 양산로2길 30 ,127.1465637,37.4878271
 중학교 , 공립 ,7130169, 강일중학교 , 02-441-4651 , http://www.kangil.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 고덕로27길 12 ,127.1381319,37.5553539
 중학교 , 공립 ,7130168, 강명중학교 , 02-440-3200 , http://www.gangmyoung.ms.kr , 남여공학 , 해당없음 ,  ,서울특별시 강동구 상일로12길 56 ,127.1750041,37.5555182
 중학교 , 공립 ,7130167, 강동중학교 , 02-481-1503 , http://www.gang-dong.ms.kr , 남여공학 , 해당없음 ,  ,서울특별시 강동구 풍산로 237 ,127.1778358,37.5697385
 중학교 , 공립 ,7130166, 가원중학교 , 02-409-2179 , www.gawon.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 중대로10길 40-18 ,127.1230428,37.4907905
 중학교 , 공립 ,7130165, 가락중학교 , 02-2143-3102 , http://www.karak.ms.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 송이로 45 ,127.118766,37.5025355
 초등학교 , 공립 ,7130164, 서울한산초등학교 , 02-475-5762 , http://www.hansan.es.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 풍성로 261 ,127.1413953,37.5283822
 초등학교 , 공립 ,7130163, 서울풍성초등학교 , 02-485-9957 , http://www.poongsung.es.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 강동대로2길 13 ,127.1137027,37.5261503
 초등학교 , 공립 ,7130162, 서울풍납초등학교 , 02-477-8151 , http://www.poongnap.es.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 풍성로 43 ,127.1174803,37.5348827
 초등학교 , 공립 ,7130161, 서울평화초등학교 , 02-443-2748 , http://www.pyunghwa.es.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 송파대로26길 22 ,127.1228189,37.4915638
 초등학교 , 공립 ,7130160, 서울토성초등학교 , 02-475-5036 , stosung.es.kr , 남여공학 , 일반계 ,  ,서울특별시 송파구 풍성로20길 44 ,127.11558,37.5319581
 초등학교 , 공립 ,7130159, 서울천호초등학교 , 02-470-9772 , http://chunho.sen.es.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 구천면로 310-11 ,127.1364691,37.5474306
 초등학교 , 공립 ,7130158, 서울천일초등학교 , 02-472-8700 , http://www.chunil.es.kr , 남여공학 , 일반계 ,  ,서울특별시 강동구 구천면로 266 ,127.133372,37.5441731
